Inglés A1  Sección A;24;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés A1  Sección B;;;;25;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés A1  Sección C;;;26;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés A1  Sección D;;;;;25;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés A1  Sección E;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés A1  Sección F;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés A1  Sección G;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés A1  Sección H;;;;;;;;;;;;;C1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C1;;;;;;;;;;;;;;;;;;;;
Inglés A1  Sección I;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S1;;;;;;;;;;;;;;;;;;;
Inglés A1  Sección J;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;
Inglés A1  Sección K;;;;;;;;;;;;;;;;;;C1;;;;;;;;;;;;;;;;;;;;;;C1;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés A1 Sección L;;;;;;C1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés A2-I Sección A;S1;;;;;;;;;;;;;;;;;;;;;;S1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés A2-I Sección B;;;;;;;;;;;;;;;;;;;;;;;;S1;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;
Inglés A2-I Sección C;;;;;;;;;;;;;;;;;;;;;;;;;S1;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;
Inglés A2-I Sección D;;;;;;;;;;;;T1;;;;;;;;;;;;;;;;;;;;;;S1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés A2-II Sección A;26;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés A2-II Sección B;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;
Inglés A2-II Sección C;;;;26;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés A2-II Sección D;;;;;;;C1;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés A2-II Sección E;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés A2-II Sección F;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;
Inglés A2-II Sección G;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;
Inglés A2-II Sección H;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;
Inglés A2-II Sección I;;;;;;;;;;;;;;;;;;S1;;;;;;;;;;;;;;;;;;;;;;S1;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés A2-II Sección J;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés A2-II Sección K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B1-I Sección A;;;;;;;;;;;;;;;;;;;;;;;;;;C1;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B1-I Sección B;;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B1-I Sección C;;;;;;;;;;;;;;;;;;;;;;;;;;;26;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B1-I Sección D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B1-I Sección E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S1;S1;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B1-I Sección F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S1;S1;;;;;;;;;;;;;;;;
Inglés B1-II Sección A;;;;;;;S1;S1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B1-II Sección B;;;;;;;;;;;;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B1-II Sección C;;;;;;;;;;;;;;;;;;25;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B1-II Sección D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;25;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B1-II Sección E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S1;S1;;;;;;;;;;;;;;;;;;;;
Inglés B1-III Sección A;;;;;26;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B1-III Sección B;;;;;;;25;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B1-III Sección C;;;;;;;;;;;;;25;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B1-III Sección D;;;;;;;;;;;;;;;;;;;S1;S1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B1-III Sección E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;25;;;;;;;;;;;;;;;;;;;
Inglés B1-III Sección F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;23;;;;;;;;;;;;;;;;
Inglés B2-I Sección A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B2-I Sección B;;;;;;;;;;;;;;;;;;;;;;;;C1;C1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B2-II Sección A;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B2-III Sección A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;26;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés B2-III Sección B;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés C1-I Sección A;T2;T2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inglés C1-II Sección A;;;;;;;;;;C1;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alemán A1 Sección A;;;;;;;;;;;;;;S1;S1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alemán A2-I Sección A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;25;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alemán B1-II Sección A;;;;;;;;;;;;;104;104;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;
Francés A1 Sección A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C1;C1;;;;;;;;;;26;26;;;;;;;;;;;;;;;;;;;;;;;
Francés A2-I Sección A;;;;;;;;;;;;;T1;T1;;;;;;;;;;;;;;;;;;;;;;;26;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Francés A2-II Sección A;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;104;104;;;;;;104;104;;;;;;;;;;;;;;;;;;;
Química SecciónA;;;E1;E1;E1;;;;;;;;;;;;;S5;S5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Química SecciónB;;;;;;;;;C3;C3;;;;S2;S2;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La Ingeniería Industrial sección A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S3;S3;S3;E1;;S3;T;T;;;;;;;;;;;;;;;;;;;;;;;;;
La Ingeniería Industrial sección B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S4;S4;S4;E2;;S4;T;103;103;;;;;;;;;;;;;;;;;;;;;;;;
Sol. Algorítmica de problemas SecciónA;;;;;;;;;;;;;;;;;;;;E2;;;;;;;;;;;;;;;;;;;105;105;;;;;;;;;;L;L;L;L;;;;;;;;;;;;;
Sol. Algorítmica de problemas SecciónB;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;104;104;;;;;;;;L;L;L;L;;;;;;;;;;;;;
Programación para Ingeniería A;;;;;;S2;S2;;;;;;;;;;;;;;;;;;;;;;;E2;E2;;;;;;;;L;L;L;;;;;;;;;;;;;;;;;;;;;;;;;
Fundamentos. de Fluido y Termodinámica A;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;21;21;21;;;;;;;;;;;;;;;;;;;;;;;
Taller de Análisis Numérico;104;104;104;;;;;;;;;L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Taller de Análisis Numérico;;;;;;105;105;105;;;;;L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modelos de Investigación de Operaciones;;;;;;;;;;;;;;;;;;;;;;;E1;E1;E1;L;L;;;;;;;;;;;E1;S1;;;;;;;;;;;;;;;;;;;;;;;;;;;
